date,p (mbar),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3)
2020-01-01 13:40:00,1006.69,276.48,-0.97,70.7,8.05,5.69,2.36,3.52,5.65,1263.31
2020-01-01 13:50:00,1006.6,276.67,-0.92,70.0,8.15,5.71,2.45,3.53,5.67,1262.33
2020-01-01 14:00:00,1006.41,276.35,-1.09,70.8,7.97,5.64,2.33,3.49,5.6,1263.64
2020-01-01 14:10:00,1006.3,276.11,-1.06,72.2,7.83,5.65,2.18,3.5,5.61,1264.65
2020-01-01 14:20:00,1006.26,276.3,-1.03,71.4,7.93,5.66,2.27,3.51,5.63,1263.73
2020-01-01 14:30:00,1006.19,276.56,-1.0,70.3,8.08,5.68,2.4,3.52,5.64,1262.46
2020-01-01 14:40:00,1006.06,276.55,-1.0,70.4,8.06,5.68,2.39,3.52,5.64,1262.4
2020-01-01 14:50:00,1006.01,277.01,-0.83,69.02,8.32,5.75,2.58,3.56,5.71,1260.24
2020-01-01 15:00:00,1006.01,277.27,-0.75,68.2,8.48,5.78,2.7,3.58,5.75,1259.06
2020-01-01 15:10:00,1006.03,276.89,-0.86,69.47,8.25,5.73,2.52,3.55,5.7,1260.83
2020-01-01 15:20:00,1006.02,276.76,-0.82,70.3,8.18,5.75,2.43,3.56,5.72,1261.39
2020-01-01 15:30:00,1006.02,277.13,-0.69,69.19,8.39,5.81,2.59,3.6,5.77,1259.69
2020-01-01 15:40:00,1005.99,277.19,-0.73,68.67,8.43,5.79,2.64,3.59,5.75,1259.38
2020-01-01 15:50:00,1005.87,277.04,-0.91,68.54,8.34,5.71,2.62,3.54,5.68,1260.0
2020-01-01 16:00:00,1005.83,276.44,-1.13,70.4,7.99,5.62,2.36,3.48,5.59,1262.75
2020-01-01 16:10:00,1005.78,275.93,-1.22,72.5,7.7,5.59,2.12,3.46,5.55,1265.04
2020-01-01 16:20:00,1005.71,275.7,-1.28,73.4,7.57,5.56,2.01,3.45,5.53,1266.05
2020-01-01 16:30:00,1005.71,275.6,-1.32,73.7,7.52,5.54,1.98,3.44,5.51,1266.52
2020-01-01 16:40:00,1005.76,275.48,-1.38,74.0,7.46,5.52,1.94,3.42,5.49,1267.11
2020-01-01 16:50:00,1005.88,275.3,-1.42,74.7,7.37,5.5,1.86,3.41,5.47,1268.08
2020-01-01 17:00:00,1005.96,274.79,-1.57,76.6,7.11,5.44,1.66,3.37,5.41,1270.53
2020-01-01 17:10:00,1005.96,274.33,-1.62,78.9,6.88,5.42,1.45,3.36,5.39,1272.67
2020-01-01 17:20:00,1006.03,273.95,-1.91,79.3,6.69,5.31,1.38,3.29,5.27,1274.56
2020-01-01 17:30:00,1006.0,273.72,-2.08,79.6,6.58,5.24,1.34,3.25,5.21,1275.61
2020-01-01 17:40:00,1005.96,273.68,-1.84,81.3,6.56,5.33,1.23,3.3,5.3,1275.73
2020-01-01 17:50:00,1005.93,273.55,-1.93,81.6,6.5,5.3,1.2,3.28,5.27,1276.34
2020-01-01 18:00:00,1005.85,273.34,-2.09,81.9,6.4,5.24,1.16,3.25,5.21,1277.28
2020-01-01 18:10:00,1005.81,273.06,-2.38,81.8,6.27,5.13,1.14,3.18,5.1,1278.6
2020-01-01 18:20:00,1005.83,272.75,-2.32,84.0,6.13,5.15,0.98,3.19,5.12,1280.03
2020-01-01 18:30:00,1005.78,272.63,-2.21,85.5,6.07,5.19,0.88,3.22,5.16,1280.56
2020-01-01 18:40:00,1005.71,272.5,-2.37,85.3,6.01,5.13,0.88,3.18,5.1,1281.1
2020-01-01 18:50:00,1005.7,272.1,-2.69,85.8,5.84,5.01,0.83,3.1,4.98,1283.04
2020-01-01 19:00:00,1005.68,271.4,-3.36,85.9,5.55,4.76,0.78,2.95,4.74,1286.45
2020-01-01 19:10:00,1005.71,271.3,-2.98,89.0,5.51,4.9,0.61,3.04,4.87,1286.88
2020-01-01 19:20:00,1005.69,271.41,-2.72,90.1,5.55,5.0,0.55,3.1,4.97,1286.32
2020-01-01 19:30:00,1005.61,271.4,-2.8,89.6,5.54,4.97,0.58,3.08,4.94,1286.3
2020-01-01 19:40:00,1005.49,271.36,-2.82,89.8,5.52,4.96,0.56,3.07,4.93,1286.39
2020-01-01 19:50:00,1005.57,271.37,-2.91,89.1,5.53,4.93,0.6,3.05,4.9,1286.43
2020-01-01 20:00:00,1005.53,271.26,-2.94,89.7,5.48,4.92,0.56,3.05,4.89,1286.94
2020-01-01 20:10:00,1005.46,270.88,-3.37,89.3,5.33,4.76,0.57,2.95,4.73,1288.71
2020-01-01 20:20:00,1005.39,270.59,-3.47,90.6,5.21,4.72,0.49,2.93,4.7,1290.06
2020-01-01 20:30:00,1005.34,270.57,-3.3,92.0,5.2,4.79,0.42,2.97,4.76,1290.1
2020-01-01 20:40:00,1005.32,270.51,-3.32,92.2,5.18,4.78,0.4,2.96,4.75,1290.34
2020-01-01 20:50:00,1005.26,270.19,-3.64,92.3,5.05,4.67,0.39,2.89,4.64,1291.9
2020-01-01 21:00:00,1005.21,269.98,-3.78,92.8,4.97,4.62,0.36,2.86,4.59,1292.88
2020-01-01 21:10:00,1005.12,269.92,-3.7,93.8,4.95,4.64,0.31,2.88,4.62,1293.07
2020-01-01 21:20:00,1005.07,269.82,-3.81,93.7,4.91,4.6,0.31,2.85,4.58,1293.5
2020-01-01 21:30:00,1005.01,269.56,-4.05,93.9,4.82,4.52,0.29,2.8,4.5,1294.74
2020-01-01 21:40:00,1004.96,269.71,-3.79,94.7,4.87,4.61,0.26,2.86,4.59,1293.91
2020-01-01 21:50:00,1004.84,269.78,-3.78,94.3,4.89,4.61,0.28,2.86,4.59,1293.47
2020-01-01 22:00:00,1004.76,269.58,-4.03,94.0,4.82,4.53,0.29,2.81,4.51,1294.41
2020-01-01 22:10:00,1004.64,269.53,-4.05,94.3,4.8,4.52,0.27,2.8,4.5,1294.53
2020-01-01 22:20:00,1004.61,269.49,-4.08,94.4,4.78,4.51,0.27,2.8,4.49,1294.69
2020-01-01 22:30:00,1004.54,269.42,-4.11,94.7,4.75,4.5,0.25,2.79,4.48,1294.99
2020-01-01 22:40:00,1004.51,269.47,-4.05,94.8,4.77,4.52,0.25,2.8,4.5,1294.73
2020-01-01 22:50:00,1004.62,269.51,-3.99,94.9,4.79,4.54,0.24,2.82,4.52,1294.61
2020-01-01 23:00:00,1004.56,269.62,-3.94,94.5,4.83,4.56,0.27,2.83,4.54,1294.02
2020-01-01 23:10:00,1004.45,269.62,-3.99,94.2,4.82,4.54,0.28,2.82,4.52,1293.93
2020-01-01 23:20:00,1004.35,269.5,-4.23,93.4,4.78,4.46,0.32,2.77,4.44,1294.45
2020-01-01 23:30:00,1004.28,269.74,-4.03,93.2,4.86,4.53,0.33,2.81,4.51,1293.2
2020-01-01 23:40:00,1004.29,269.87,-4.3,90.4,4.91,4.44,0.47,2.75,4.42,1292.63
2020-01-01 23:50:00,1004.26,269.38,-4.89,89.7,4.73,4.24,0.49,2.63,4.22,1295.08
2020-01-02 00:00:00,1004.16,269.45,-4.58,91.4,4.75,4.34,0.41,2.7,4.33,1294.57
2020-01-02 00:10:00,1004.13,269.37,-4.68,91.3,4.72,4.31,0.41,2.68,4.29,1294.95
2020-01-02 00:20:00,1004.13,268.9,-5.16,91.2,4.56,4.16,0.4,2.58,4.14,1297.28
2020-01-02 00:30:00,1004.11,268.94,-5.11,91.3,4.57,4.17,0.4,2.59,4.16,1297.1
2020-01-02 00:40:00,1004.09,268.98,-4.96,92.0,4.59,4.22,0.37,2.62,4.2,1296.81
2020-01-02 00:50:00,1004.0,268.97,-5.17,90.7,4.58,4.16,0.43,2.58,4.14,1296.81
2020-01-02 01:00:00,1003.96,268.62,-5.6,90.1,4.46,4.02,0.44,2.49,4.0,1298.54
2020-01-02 01:10:00,1003.86,268.44,-5.65,91.1,4.4,4.0,0.39,2.49,3.99,1299.33
2020-01-02 01:20:00,1003.9,268.44,-5.43,92.6,4.4,4.07,0.33,2.53,4.06,1299.32
2020-01-02 01:30:00,1003.76,268.37,-5.47,92.9,4.37,4.06,0.31,2.52,4.04,1299.56
2020-01-02 01:40:00,1003.75,268.56,-5.14,93.9,4.43,4.16,0.27,2.58,4.15,1298.57
2020-01-02 01:50:00,1003.72,268.62,-5.25,92.7,4.45,4.13,0.33,2.56,4.11,1298.26
2020-01-02 02:00:00,1003.76,268.67,-5.14,93.1,4.47,4.16,0.31,2.58,4.15,1298.05
2020-01-02 02:10:00,1003.73,268.9,-4.92,93.1,4.55,4.23,0.31,2.63,4.22,1296.9
2020-01-02 02:20:00,1003.67,268.81,-5.28,91.2,4.52,4.12,0.4,2.56,4.1,1297.32
2020-01-02 02:30:00,1003.51,268.33,-6.13,88.7,4.35,3.86,0.49,2.4,3.85,1299.62
2020-01-02 02:40:00,1003.51,268.11,-6.2,89.7,4.28,3.84,0.44,2.38,3.82,1300.69
2020-01-02 02:50:00,1003.49,268.04,-5.94,92.0,4.26,3.92,0.34,2.43,3.9,1300.96
2020-01-02 03:00:00,1003.38,268.04,-5.88,92.5,4.25,3.93,0.32,2.44,3.92,1300.84
2020-01-02 03:10:00,1003.27,268.03,-5.9,92.5,4.25,3.93,0.32,2.44,3.92,1300.79
2020-01-02 03:20:00,1003.17,268.01,-6.04,91.7,4.24,3.89,0.35,2.41,3.87,1300.85
2020-01-02 03:30:00,1003.12,268.12,-6.14,90.3,4.27,3.86,0.41,2.39,3.84,1300.3
2020-01-02 03:40:00,1003.07,267.89,-6.25,91.1,4.2,3.82,0.37,2.37,3.81,1301.35
2020-01-02 03:50:00,1003.08,267.81,-6.25,91.7,4.17,3.82,0.35,2.37,3.81,1301.76
2020-01-02 04:00:00,1003.12,268.2,-5.78,92.2,4.3,3.96,0.34,2.46,3.95,1299.82
2020-01-02 04:10:00,1003.22,268.47,-5.76,90.5,4.39,3.97,0.42,2.47,3.96,1298.64
2020-01-02 04:20:00,1003.37,268.36,-5.98,89.6,4.36,3.9,0.45,2.42,3.89,1299.31
2020-01-02 04:30:00,1003.32,267.89,-6.48,89.4,4.2,3.76,0.45,2.33,3.74,1301.64
2020-01-02 04:40:00,1003.15,267.53,-6.63,90.9,4.08,3.71,0.37,2.31,3.7,1303.24
2020-01-02 04:50:00,1002.99,267.46,-6.72,90.9,4.06,3.69,0.37,2.29,3.68,1303.47
2020-01-02 05:00:00,1002.82,267.52,-6.81,89.9,4.07,3.66,0.41,2.27,3.65,1303.01
2020-01-02 05:10:00,1002.67,268.0,-6.46,89.1,4.22,3.76,0.46,2.34,3.75,1300.5
2020-01-02 05:20:00,1002.65,268.09,-6.92,85.4,4.25,3.63,0.62,2.25,3.62,1300.1
2020-01-02 05:30:00,1002.67,267.73,-6.84,88.3,4.14,3.65,0.48,2.27,3.64,1301.84
2020-01-02 05:40:00,1002.62,267.53,-6.83,89.8,4.07,3.66,0.42,2.27,3.65,1302.78
2020-01-02 05:50:00,1002.55,267.44,-6.89,90.0,4.04,3.64,0.4,2.26,3.63,1303.16
2020-01-02 06:00:00,1002.53,267.52,-6.63,91.3,4.07,3.71,0.35,2.31,3.7,1302.73
2020-01-02 06:10:00,1002.51,267.39,-6.84,90.7,4.03,3.65,0.37,2.27,3.64,1303.33
2020-01-02 06:20:00,1002.53,267.19,-7.03,90.8,3.97,3.6,0.36,2.24,3.59,1304.37
2020-01-02 06:30:00,1002.53,267.28,-6.91,91.0,3.99,3.63,0.36,2.26,3.62,1303.93
2020-01-02 06:40:00,1002.52,267.53,-6.76,90.3,4.07,3.67,0.39,2.28,3.67,1302.66
2020-01-02 06:50:00,1002.44,267.52,-7.04,88.5,4.06,3.6,0.47,2.23,3.59,1302.7
2020-01-02 07:00:00,1002.41,267.51,-6.88,89.7,4.06,3.64,0.42,2.26,3.63,1302.71
2020-01-02 07:10:00,1002.37,267.93,-6.67,88.3,4.19,3.7,0.49,2.3,3.69,1300.57
2020-01-02 07:20:00,1002.4,268.04,-6.69,87.4,4.23,3.69,0.53,2.3,3.69,1300.07
2020-01-02 07:30:00,1002.4,268.18,-6.69,86.5,4.27,3.7,0.58,2.3,3.69,1299.42
2020-01-02 07:40:00,1002.36,268.07,-6.78,86.6,4.24,3.67,0.57,2.28,3.66,1299.89
2020-01-02 07:50:00,1002.35,267.86,-6.88,87.4,4.17,3.64,0.53,2.26,3.63,1300.95
2020-01-02 08:00:00,1002.38,267.84,-6.97,86.8,4.17,3.62,0.55,2.25,3.61,1301.04
2020-01-02 08:10:00,1002.36,267.4,-7.29,87.6,4.03,3.53,0.5,2.19,3.52,1303.2
2020-01-02 08:20:00,1002.35,267.32,-7.0,90.2,4.0,3.61,0.39,2.24,3.6,1303.58
2020-01-02 08:30:00,1002.27,267.55,-6.75,90.4,4.07,3.68,0.39,2.29,3.67,1302.33
2020-01-02 08:40:00,1002.18,268.26,-6.47,87.5,4.3,3.76,0.54,2.34,3.75,1298.75
2020-01-02 08:50:00,1002.21,268.55,-6.65,84.4,4.39,3.71,0.69,2.3,3.7,1297.4
2020-01-02 09:00:00,1002.19,268.6,-6.71,83.7,4.41,3.69,0.72,2.29,3.68,1297.16
2020-01-02 09:10:00,1002.25,268.28,-6.98,84.0,4.3,3.61,0.69,2.25,3.6,1298.82
2020-01-02 09:20:00,1002.19,268.31,-6.62,86.2,4.31,3.72,0.6,2.31,3.71,1298.53
2020-01-02 09:30:00,1002.05,268.87,-6.58,82.9,4.5,3.73,0.77,2.32,3.72,1295.69
2020-01-02 09:40:00,1002.01,268.93,-6.54,82.8,4.51,3.74,0.78,2.32,3.73,1295.37
2020-01-02 09:50:00,1002.0,268.97,-6.51,82.8,4.53,3.75,0.78,2.33,3.74,1295.19
2020-01-02 10:00:00,1001.81,268.86,-6.5,83.6,4.49,3.75,0.74,2.33,3.74,1295.51
2020-01-02 10:10:00,1001.66,269.23,-6.11,83.9,4.61,3.86,0.74,2.4,3.86,1293.59
2020-01-02 10:20:00,1001.66,269.51,-5.88,83.6,4.7,3.93,0.77,2.45,3.93,1292.2
2020-01-02 10:30:00,1001.57,270.02,-5.74,81.4,4.89,3.98,0.91,2.47,3.97,1289.66
2020-01-02 10:40:00,1001.52,270.26,-5.7,80.2,4.98,3.99,0.99,2.48,3.98,1288.43
2020-01-02 10:50:00,1001.42,271.18,-5.34,77.0,5.32,4.1,1.22,2.55,4.09,1283.93
2020-01-02 11:00:00,1001.32,271.81,-5.31,73.7,5.58,4.11,1.47,2.56,4.1,1280.83
2020-01-02 11:10:00,1001.39,272.14,-5.17,72.7,5.71,4.15,1.56,2.58,4.15,1279.33
2020-01-02 11:20:00,1001.38,272.49,-5.07,71.4,5.86,4.19,1.68,2.6,4.18,1277.66
2020-01-02 11:30:00,1001.18,272.48,-5.1,71.4,5.85,4.18,1.67,2.6,4.17,1277.55
2020-01-02 11:40:00,1001.01,272.89,-4.93,70.2,6.02,4.23,1.8,2.63,4.22,1275.44
2020-01-02 11:50:00,1000.87,273.57,-4.85,67.31,6.32,4.26,2.07,2.65,4.25,1272.14
2020-01-02 12:00:00,1000.7,274.17,-4.72,65.15,6.6,4.3,2.3,2.68,4.29,1269.18
2020-01-02 12:10:00,1000.49,274.92,-4.79,61.45,6.96,4.28,2.68,2.66,4.27,1265.52
2020-01-02 12:20:00,1000.23,275.06,-4.63,61.68,7.02,4.33,2.69,2.7,4.33,1264.63
2020-01-02 12:30:00,1000.03,275.88,-4.24,59.96,7.43,4.46,2.98,2.78,4.46,1260.62
2020-01-02 12:40:00,999.8,276.65,-3.93,58.23,7.84,4.56,3.27,2.84,4.57,1256.87
2020-01-02 12:50:00,999.66,277.56,-3.76,55.33,8.35,4.62,3.73,2.88,4.62,1252.6
2020-01-02 13:00:00,999.58,278.17,-3.81,52.83,8.71,4.6,4.11,2.87,4.61,1249.78
2020-01-02 13:10:00,999.46,278.78,-3.84,50.54,9.09,4.59,4.49,2.86,4.6,1246.93
2020-01-02 13:20:00,999.3,278.94,-3.25,52.29,9.18,4.8,4.38,2.99,4.81,1245.96
2020-01-02 13:30:00,999.16,279.29,-2.83,52.72,9.4,4.95,4.44,3.09,4.96,1244.24
2020-01-02 13:40:00,999.06,279.7,-2.31,53.29,9.67,5.15,4.52,3.21,5.16,1242.21
2020-01-02 13:50:00,998.98,279.72,-2.18,53.8,9.67,5.2,4.47,3.25,5.21,1242.05
2020-01-02 14:00:00,998.88,279.47,-2.02,55.42,9.5,5.27,4.24,3.29,5.27,1243.03
2020-01-02 14:10:00,998.9,279.13,-1.7,58.09,9.28,5.39,3.89,3.36,5.4,1244.51
2020-01-02 14:20:00,998.87,278.96,-1.41,60.07,9.17,5.51,3.66,3.44,5.52,1245.18
2020-01-02 14:30:00,998.81,279.17,-1.26,59.87,9.3,5.57,3.73,3.47,5.58,1244.18
2020-01-02 14:40:00,998.71,278.97,-1.26,60.77,9.17,5.57,3.6,3.48,5.58,1244.98
2020-01-02 14:50:00,998.69,278.68,-1.36,61.54,8.98,5.53,3.46,3.45,5.54,1246.26
2020-01-02 15:00:00,998.65,278.92,-1.42,60.22,9.14,5.5,3.63,3.43,5.51,1245.15
2020-01-02 15:10:00,998.66,279.04,-1.39,59.89,9.21,5.52,3.69,3.44,5.52,1244.63
2020-01-02 15:20:00,998.66,278.87,-1.28,61.08,9.11,5.56,3.54,3.47,5.57,1245.36
2020-01-02 15:30:00,998.75,278.73,-1.25,61.8,9.02,5.57,3.44,3.48,5.58,1246.09
2020-01-02 15:40:00,998.82,278.74,-1.25,61.73,9.03,5.57,3.46,3.48,5.58,1246.09
2020-01-02 15:50:00,998.94,278.21,-1.33,63.64,8.71,5.54,3.17,3.46,5.55,1248.59
2020-01-02 16:00:00,998.97,277.52,-1.39,66.44,8.3,5.51,2.78,3.44,5.52,1251.72
2020-01-02 16:10:00,999.12,276.92,-1.51,68.68,7.96,5.47,2.49,3.41,5.47,1254.59
2020-01-02 16:20:00,999.13,276.59,-1.55,70.1,7.78,5.45,2.33,3.4,5.46,1256.11
2020-01-02 16:30:00,999.28,276.47,-1.67,69.98,7.72,5.4,2.32,3.37,5.41,1256.8
2020-01-02 16:40:00,999.39,276.39,-1.88,69.27,7.68,5.32,2.36,3.32,5.32,1257.31
2020-01-02 16:50:00,999.44,276.26,-1.76,70.5,7.61,5.37,2.25,3.35,5.37,1257.92
2020-01-02 17:00:00,999.45,276.08,-1.99,70.2,7.52,5.28,2.24,3.29,5.28,1258.78
2020-01-02 17:10:00,999.51,275.81,-2.04,71.3,7.37,5.26,2.12,3.28,5.26,1260.08
