date,wv (m/s),max. wv (m/s),wd (deg),rain (mm),raining (s),SWDR (W/m�),PAR (�mol/m�/s),max. PAR (�mol/m�/s),Tlog (degC),OT
2020-01-03 18:10:00,4.67,6.29,195.2,0.0,0.0,0.0,0.0,0.0,15.65,425.8
2020-01-03 20:10:00,6.62,10.37,208.8,0.0,0.0,0.0,0.0,0.0,15.7,423.6
2020-01-03 22:10:00,1.63,4.01,222.5,0.0,180.0,0.0,0.0,0.0,16.51,422.9
2020-01-04 00:10:00,1.88,4.69,283.0,0.0,140.0,0.0,0.0,0.0,17.4,419.2
2020-01-04 02:10:00,1.22,3.04,270.8,0.0,0.0,0.0,0.0,0.0,15.51,418.3
2020-01-04 04:10:00,0.95,3.73,277.5,0.0,0.0,0.0,0.0,0.0,14.23,419.4
2020-01-04 06:10:00,2.01,3.45,255.9,0.0,0.0,0.0,0.0,0.0,13.43,419.9
2020-01-04 08:10:00,1.58,3.33,116.3,0.0,0.0,0.2,1.74,2.51,13.55,420.8
2020-01-04 10:10:00,2.15,5.29,237.0,0.0,0.0,21.33,50.19,52.7,13.69,420.8
2020-01-04 12:10:00,2.82,6.75,233.2,0.0,0.0,48.29,109.27,121.43,14.32,421.3
2020-01-04 14:10:00,3.99,7.27,240.8,0.0,0.0,17.91,44.02,61.97,14.79,420.8
2020-01-04 16:10:00,3.03,5.01,231.4,0.0,0.0,3.42,8.88,10.81,14.17,423.2
2020-01-04 18:10:00,1.85,4.57,285.1,0.6,600.0,0.0,0.0,0.0,14.75,423.3
2020-01-04 20:10:00,1.9,3.0,267.3,0.0,0.0,0.0,0.0,0.0,12.48,418.4
2020-01-04 22:10:00,2.45,4.13,261.1,0.0,0.0,0.0,0.0,0.0,11.67,419.9
2020-01-05 00:10:00,2.28,3.57,250.6,0.0,0.0,0.0,0.0,0.0,11.09,419.8
2020-01-05 02:10:00,2.82,3.63,251.0,0.0,0.0,0.0,0.0,0.0,11.75,419.7
2020-01-05 04:10:00,1.84,2.98,261.3,0.0,0.0,0.0,0.0,0.0,12.09,419.2
2020-01-05 06:10:00,1.65,2.72,256.3,0.0,0.0,0.0,0.0,0.0,12.53,419.3
2020-01-05 08:10:00,1.01,1.52,248.2,0.0,0.0,0.2,1.93,3.09,12.93,419.3
2020-01-05 10:10:00,0.96,1.72,143.0,0.0,0.0,72.84,153.09,165.83,13.47,431.5
2020-01-05 12:10:00,2.27,3.12,212.0,0.0,0.0,151.71,309.07,326.06,15.08,416.6
2020-01-05 14:10:00,2.86,4.25,200.5,0.0,0.0,242.25,465.44,488.03,15.57,415.3
2020-01-05 16:10:00,1.37,1.94,233.6,0.0,0.0,6.04,16.41,18.53,16.56,414.8
2020-01-05 18:10:00,1.33,2.48,198.7,0.0,0.0,0.0,0.0,0.0,15.42,418.0
2020-01-05 20:10:00,2.24,3.41,169.4,0.0,0.0,0.0,0.0,0.0,14.76,423.4
2020-01-05 22:10:00,1.38,2.36,182.0,0.0,0.0,0.0,0.0,0.0,14.39,425.4
2020-01-06 00:10:00,1.08,1.76,169.5,0.0,0.0,0.0,0.0,0.0,14.79,426.3
2020-01-06 02:10:00,2.29,3.81,198.6,0.0,0.0,0.0,0.0,0.0,14.86,425.2
2020-01-06 04:10:00,1.06,1.8,142.9,0.0,0.0,0.0,0.0,0.0,14.81,430.0
2020-01-06 06:10:00,1.48,2.0,146.7,0.0,0.0,0.0,0.0,0.0,15.23,432.0
2020-01-06 08:10:00,0.28,0.64,187.0,0.0,0.0,0.0,0.0,1.35,15.4,441.5
2020-01-06 10:10:00,0.73,1.24,149.1,0.0,0.0,26.56,59.27,61.58,15.66,450.0
2020-01-06 12:10:00,1.22,1.8,197.4,0.0,0.0,56.74,122.59,125.29,16.25,433.3
2020-01-06 14:10:00,2.58,3.77,184.6,0.0,0.0,113.28,227.99,240.93,16.67,425.8
2020-01-06 16:10:00,2.11,2.56,199.4,0.0,0.0,8.25,32.05,38.42,17.24,422.4
2020-01-06 18:10:00,1.95,2.96,186.3,0.0,0.0,0.0,0.0,0.0,14.17,426.4
2020-01-06 20:10:00,1.38,2.6,169.0,0.0,0.0,0.0,0.0,0.0,12.42,433.9
2020-01-06 22:10:00,1.11,1.84,194.3,0.0,0.0,0.0,0.0,0.0,10.66,443.9
2020-01-07 00:10:00,0.99,2.0,230.6,0.0,0.0,0.0,0.0,0.0,9.79,438.1
2020-01-07 02:10:00,1.76,2.77,214.0,0.0,0.0,0.0,0.0,0.0,9.83,435.0
2020-01-07 04:10:00,0.4,0.92,237.4,0.0,0.0,0.0,0.0,0.0,10.31,436.2
2020-01-07 06:10:00,0.51,1.08,169.9,0.0,0.0,0.0,0.0,0.0,11.41,434.1
2020-01-07 08:10:00,0.85,1.54,147.4,0.0,0.0,0.6,1.54,2.32,12.75,444.6
2020-01-07 10:10:00,0.34,0.92,161.4,0.0,0.0,27.57,61.39,65.44,13.65,444.3
2020-01-07 12:10:00,1.17,2.24,237.7,0.0,0.0,75.86,164.86,244.79,14.49,436.1
2020-01-07 14:10:00,1.51,2.64,215.7,0.0,0.0,76.26,158.88,172.39,17.29,428.6
2020-01-07 16:10:00,1.42,1.84,223.6,0.0,0.0,4.43,11.2,14.67,17.49,426.9
2020-01-07 18:10:00,2.88,3.93,218.4,0.0,0.0,0.0,0.0,0.0,16.57,426.8
2020-01-07 20:10:00,2.45,3.65,231.2,0.0,0.0,0.0,0.0,0.0,14.99,429.8
2020-01-07 22:10:00,1.03,2.52,176.8,0.0,0.0,0.0,0.0,0.0,13.51,437.4
2020-01-08 00:10:00,2.66,3.61,193.1,0.0,0.0,0.0,0.0,0.0,12.99,442.2
2020-01-08 02:10:00,0.77,1.8,139.4,0.0,0.0,0.0,0.0,0.0,13.06,434.0
2020-01-08 04:10:00,3.81,5.53,179.1,0.0,0.0,0.0,0.0,0.0,14.57,427.0
2020-01-08 06:10:00,2.7,4.05,204.0,0.0,0.0,0.0,0.0,0.0,15.16,423.3
2020-01-08 08:10:00,0.85,1.8,192.2,0.0,0.0,0.0,1.16,1.35,15.39,429.7
2020-01-08 10:10:00,5.02,6.41,151.9,0.4,600.0,10.26,27.99,36.29,15.54,428.5
2020-01-08 12:10:00,1.6,4.21,176.5,0.0,420.0,37.83,86.49,90.93,14.85,432.4
2020-01-08 14:10:00,2.57,4.29,175.5,0.0,0.0,73.64,155.41,172.2,15.97,429.7
2020-01-08 16:10:00,2.2,2.94,187.0,0.0,0.0,5.84,11.0,12.16,16.9,431.8
2020-01-08 18:10:00,3.07,4.53,152.4,0.0,0.0,0.0,0.0,0.0,17.39,435.2
2020-01-08 20:10:00,1.8,3.28,170.7,0.0,0.0,0.0,0.0,0.0,16.97,435.4
2020-01-08 22:10:00,2.37,4.37,172.7,0.0,130.0,0.0,0.0,0.0,16.78,435.9
2020-01-09 00:10:00,2.51,4.09,176.1,0.1,600.0,0.0,0.0,0.0,16.81,439.0
2020-01-09 02:10:00,1.29,2.04,210.6,0.1,600.0,0.0,0.0,0.0,16.41,440.1
2020-01-09 04:10:00,1.77,2.56,191.3,0.1,600.0,0.0,0.0,0.0,16.61,443.2
2020-01-09 06:10:00,1.77,2.6,187.7,0.2,600.0,0.0,0.0,0.0,16.53,444.4
2020-01-09 08:10:00,1.56,2.44,193.6,0.1,540.0,0.0,1.16,1.35,16.83,451.1
2020-01-09 10:10:00,2.72,3.53,182.8,0.0,370.0,27.77,63.13,70.66,16.95,445.0
2020-01-09 12:10:00,1.74,3.12,172.9,0.0,0.0,33.6,77.22,88.42,17.48,441.4
2020-01-09 14:10:00,6.23,8.21,204.6,0.0,0.0,54.53,116.6,130.31,18.73,427.9
2020-01-09 16:10:00,5.83,8.67,207.9,0.0,0.0,7.04,16.99,21.04,19.0,429.3
2020-01-09 18:10:00,3.75,5.67,197.4,0.0,0.0,0.0,0.0,0.0,18.64,432.6
2020-01-09 20:10:00,2.11,3.57,169.3,0.1,600.0,0.0,0.0,0.0,19.3,433.0
2020-01-09 22:10:00,3.08,4.29,196.9,0.0,370.0,0.0,0.0,0.0,19.02,427.6
2020-01-10 00:10:00,4.01,5.13,202.3,0.0,0.0,0.0,0.0,0.0,18.9,427.9
2020-01-10 02:10:00,2.16,4.37,174.3,0.0,0.0,0.0,0.0,0.0,19.57,427.7
2020-01-10 04:10:00,4.48,6.71,211.0,0.0,120.0,0.0,0.0,0.0,19.19,424.2
2020-01-10 06:10:00,3.81,6.69,195.1,0.0,0.0,0.0,0.0,0.0,17.63,427.9
2020-01-10 08:10:00,6.97,9.17,214.5,0.0,0.0,0.2,1.54,2.51,17.77,420.8
2020-01-10 10:10:00,4.96,6.61,210.5,0.0,0.0,84.91,176.06,233.4,18.03,419.6
2020-01-10 12:10:00,3.43,5.23,187.0,0.0,0.0,25.15,59.27,79.54,18.29,420.5
2020-01-10 14:10:00,5.3,7.17,207.6,0.0,0.0,59.36,127.41,170.46,18.77,420.6
2020-01-10 16:10:00,4.64,6.27,199.0,0.0,0.0,6.44,16.8,19.69,18.7,423.0
2020-01-10 18:10:00,2.89,5.77,260.1,0.0,0.0,0.0,0.0,0.0,17.7,420.3
2020-01-10 20:10:00,2.17,4.45,263.2,0.0,0.0,0.0,0.0,0.0,16.57,423.7
2020-01-10 22:10:00,1.2,2.64,281.2,0.0,0.0,0.0,0.0,0.0,15.22,422.5
2020-01-11 00:10:00,1.58,2.84,236.2,0.0,0.0,0.0,0.0,0.0,14.61,419.6
2020-01-11 02:10:00,1.17,3.24,288.9,0.0,0.0,0.0,0.0,0.0,14.4,419.1
2020-01-11 04:10:00,1.27,2.24,261.1,0.1,80.0,0.0,0.0,0.0,14.31,419.6
2020-01-11 06:10:00,1.54,3.65,284.6,0.0,0.0,0.0,0.0,0.0,13.82,420.6
2020-01-11 08:10:00,1.4,2.0,253.1,0.0,0.0,0.0,4.25,6.95,14.35,419.5
2020-01-11 10:10:00,0.77,1.68,207.6,0.0,0.0,85.71,183.01,226.06,14.46,421.0
2020-01-11 12:10:00,1.75,3.16,264.4,0.0,0.0,100.2,217.18,411.39,16.65,418.0
2020-01-11 14:10:00,3.87,5.53,194.7,0.0,0.0,188.13,374.71,417.76,17.7,417.3
2020-01-11 16:10:00,3.35,4.45,190.2,0.0,0.0,17.71,42.08,49.03,17.1,417.7
2020-01-11 18:10:00,1.37,1.8,224.1,0.0,0.0,0.0,0.0,0.0,14.16,420.1
2020-01-11 20:10:00,0.84,1.36,215.3,0.0,0.0,0.0,0.0,0.0,12.76,425.0
2020-01-11 22:10:00,1.7,2.56,186.0,0.0,0.0,0.0,0.0,0.0,12.03,425.5
2020-01-12 00:10:00,0.99,2.32,187.4,0.0,0.0,0.0,0.0,0.0,11.41,426.9
2020-01-12 02:10:00,2.01,2.68,204.1,0.0,0.0,0.0,0.0,0.0,10.85,426.5
2020-01-12 04:10:00,0.98,1.72,224.3,0.0,0.0,0.0,0.0,0.0,10.39,431.0
2020-01-12 06:10:00,2.31,3.43,215.4,0.0,0.0,0.0,0.0,0.0,10.43,428.5
2020-01-12 08:10:00,0.54,2.0,263.4,0.0,0.0,2.21,6.37,8.3,10.6,432.2
2020-01-12 10:10:00,1.98,3.13,176.6,0.0,0.0,132.6,258.69,296.91,12.15,431.2
2020-01-12 12:10:00,3.72,7.13,172.6,0.0,0.0,326.96,626.25,697.49,15.15,421.9
2020-01-12 14:10:00,2.71,4.77,203.5,0.0,0.0,81.29,174.9,184.94,15.95,423.8
2020-01-12 16:10:00,2.5,4.17,177.0,0.0,0.0,11.87,35.71,41.31,14.53,426.7
2020-01-12 18:10:00,3.09,4.21,153.2,0.0,0.0,0.0,0.0,0.0,13.57,427.5
2020-01-12 20:10:00,5.56,10.15,214.0,0.0,0.0,0.0,0.0,0.0,13.3,423.1
2020-01-12 22:10:00,3.87,6.55,191.9,0.0,0.0,0.0,0.0,0.0,12.84,424.1
2020-01-13 00:10:00,2.28,3.89,171.9,0.0,0.0,0.0,0.0,0.0,12.58,428.2
2020-01-13 02:10:00,1.18,2.36,171.7,0.0,0.0,0.0,0.0,0.0,13.25,425.0
2020-01-13 04:10:00,1.88,2.92,176.3,0.0,0.0,0.0,0.0,0.0,13.57,427.6
2020-01-13 06:10:00,2.55,3.65,192.7,0.0,0.0,0.0,0.0,0.0,13.93,430.2
2020-01-13 08:10:00,1.9,2.9,212.9,0.0,0.0,0.4,1.93,3.09,14.36,434.9
2020-01-13 10:10:00,2.86,3.89,187.3,0.0,0.0,87.73,181.85,192.66,14.86,428.5
2020-01-13 12:10:00,3.4,5.11,200.8,0.0,0.0,163.78,337.64,429.15,15.84,424.6
2020-01-13 14:10:00,2.89,4.67,184.0,0.0,0.0,96.78,198.84,218.15,16.52,425.5
2020-01-13 16:10:00,2.88,5.41,178.2,0.0,0.0,11.07,36.1,41.31,15.56,428.1
2020-01-13 18:10:00,5.33,7.97,217.4,0.0,0.0,0.0,0.0,0.0,14.28,427.1
2020-01-13 20:10:00,3.21,4.89,201.1,0.0,0.0,0.0,0.0,0.0,14.06,433.2
2020-01-13 22:10:00,3.66,4.89,194.2,0.0,0.0,0.0,0.0,0.0,13.87,435.6
2020-01-14 00:10:00,4.13,5.89,209.2,0.0,0.0,0.0,0.0,0.0,13.17,430.5
2020-01-14 02:10:00,2.79,4.07,183.6,0.0,0.0,0.0,0.0,0.0,13.49,432.5
2020-01-14 04:10:00,3.09,4.09,185.9,0.0,0.0,0.0,0.0,0.0,13.95,430.8
2020-01-14 06:10:00,3.83,6.01,160.7,0.0,0.0,0.0,0.0,0.0,14.05,429.5
2020-01-14 08:10:00,4.25,7.57,180.2,0.0,0.0,2.82,2.7,3.09,14.92,430.5
2020-01-14 10:10:00,2.25,3.57,184.2,0.0,0.0,85.11,177.22,199.03,15.6,428.3
2020-01-14 12:10:00,3.4,5.33,169.5,0.0,0.0,200.4,413.71,518.73,17.46,426.6
2020-01-14 14:10:00,3.72,8.33,191.3,0.0,0.0,114.49,237.84,247.3,19.12,420.8
2020-01-14 16:10:00,5.82,7.93,200.0,0.0,0.0,7.65,18.53,24.71,18.77,426.6
2020-01-14 18:10:00,4.13,6.01,199.2,0.0,0.0,0.0,0.0,0.0,17.67,426.9
2020-01-14 20:10:00,3.71,6.53,179.3,0.0,0.0,0.0,0.0,0.0,17.79,427.7
2020-01-14 22:10:00,6.35,9.53,195.7,0.0,0.0,0.0,0.0,0.0,17.65,424.7
2020-01-15 00:10:00,4.88,6.53,193.6,0.0,0.0,0.0,0.0,0.0,18.02,426.0
2020-01-15 02:10:00,4.11,6.11,179.5,0.0,0.0,0.0,0.0,0.0,18.14,427.0
2020-01-15 04:10:00,2.13,3.57,190.5,0.0,0.0,0.0,0.0,0.0,18.18,428.7
2020-01-15 06:10:00,5.95,8.85,207.8,0.0,0.0,0.0,0.0,0.0,18.75,422.1
2020-01-15 08:10:00,4.23,5.71,195.3,0.0,0.0,0.6,4.44,6.95,19.02,427.0
2020-01-15 10:10:00,3.53,4.97,193.7,0.0,0.0,159.96,320.46,375.68,18.77,429.6
2020-01-15 12:10:00,6.31,9.05,202.3,0.0,0.0,370.42,711.97,723.36,20.39,422.6
2020-01-15 14:10:00,5.78,8.81,209.1,0.0,0.0,187.12,370.08,474.9,23.26,418.3
2020-01-15 16:10:00,4.6,6.29,215.2,0.0,0.0,18.31,44.79,50.19,22.29,421.9
2020-01-15 18:10:00,3.38,4.37,210.9,0.0,0.0,0.0,0.0,0.0,19.06,428.2
2020-01-15 20:10:00,1.73,2.94,202.9,0.0,0.0,0.0,0.0,0.0,17.65,432.3
2020-01-15 22:10:00,3.52,4.59,198.7,0.0,0.0,0.0,0.0,0.0,16.87,426.9
2020-01-16 00:10:00,4.32,6.21,211.2,0.0,0.0,0.0,0.0,0.0,17.39,423.3
2020-01-16 02:10:00,2.67,4.17,212.7,0.0,0.0,0.0,0.0,0.0,18.87,423.5
2020-01-16 04:10:00,0.64,1.9,81.9,0.0,0.0,0.0,0.0,0.0,19.74,428.9
2020-01-16 06:10:00,1.25,2.0,219.9,0.0,0.0,0.0,0.0,0.0,18.69,428.2
2020-01-16 08:10:00,1.13,2.32,226.1,0.0,0.0,0.0,5.41,8.3,17.02,433.7
2020-01-16 10:10:00,0.64,1.0,201.4,0.0,0.0,75.86,160.23,186.29,17.18,441.6
2020-01-16 12:10:00,1.1,1.8,136.2,0.0,0.0,264.59,534.17,537.45,20.39,442.3
2020-01-16 14:10:00,2.96,3.96,186.8,0.0,0.0,212.27,419.3,427.8,23.75,419.5
2020-01-16 16:10:00,2.62,3.48,209.9,0.0,0.0,16.5,52.7,62.93,23.8,419.4
2020-01-16 18:10:00,1.93,2.84,201.7,0.0,0.0,0.0,0.0,0.0,20.07,421.9
2020-01-16 20:10:00,1.72,2.72,199.0,0.0,0.0,0.0,0.0,0.0,18.11,432.0
2020-01-16 22:10:00,1.57,2.76,191.8,0.0,0.0,0.0,0.0,0.0,16.27,432.1
2020-01-17 00:10:00,1.3,2.04,187.4,0.0,0.0,0.0,0.0,0.0,15.08,433.1
2020-01-17 02:10:00,1.07,1.96,198.6,0.0,0.0,0.0,0.0,0.0,14.54,436.9
2020-01-17 04:10:00,0.43,0.92,209.6,0.0,0.0,0.0,0.0,0.0,13.82,434.7
2020-01-17 06:10:00,1.12,1.74,227.9,0.0,0.0,0.0,0.0,0.0,13.53,436.4
2020-01-17 08:10:00,1.78,2.7,204.2,0.0,0.0,0.2,7.72,12.16,13.1,437.0
2020-01-17 10:10:00,1.87,2.64,192.2,0.0,0.0,180.48,322.2,334.94,14.55,454.6
2020-01-17 12:10:00,2.02,3.26,170.8,0.0,0.0,271.23,538.61,541.12,17.87,444.1
2020-01-17 14:10:00,2.69,3.89,160.3,0.0,0.0,165.59,331.85,371.81,20.01,432.2
2020-01-17 16:10:00,1.97,3.28,148.2,0.0,0.0,30.78,69.69,84.56,19.47,433.7
2020-01-17 18:10:00,2.94,3.81,219.9,0.0,0.0,0.0,0.0,0.0,16.86,432.2
2020-01-17 20:10:00,1.31,2.36,195.6,0.0,0.0,0.0,0.0,0.0,16.47,441.1
2020-01-17 22:10:00,1.55,2.92,205.7,0.0,0.0,0.0,0.0,0.0,16.75,442.0
2020-01-18 00:10:00,0.93,2.72,217.5,0.0,0.0,0.0,0.0,0.0,17.0,432.2
2020-01-18 02:10:00,1.1,1.68,196.8,0.0,0.0,0.0,0.0,0.0,16.64,427.2
2020-01-18 04:10:00,1.45,2.92,324.0,0.0,0.0,0.0,0.0,0.0,15.63,422.5
2020-01-18 06:10:00,0.53,1.28,175.8,0.0,0.0,0.0,0.0,0.0,14.59,424.5
2020-01-18 08:10:00,1.32,2.04,224.9,0.0,0.0,0.0,4.44,6.95,14.49,424.2
2020-01-18 10:10:00,1.04,1.64,178.3,0.0,0.0,126.56,253.47,284.17,14.34,432.1
2020-01-18 12:10:00,4.31,6.37,203.4,0.0,0.0,110.06,221.81,238.42,16.92,419.7
2020-01-18 14:10:00,4.05,6.65,213.5,0.0,0.0,81.69,165.44,255.02,16.66,418.4
2020-01-18 16:10:00,2.73,3.89,209.3,0.0,0.0,16.3,33.78,38.8,16.97,419.3
2020-01-18 18:10:00,1.26,1.88,252.9,0.0,0.0,0.0,0.0,0.0,16.4,421.4
2020-01-18 20:10:00,1.66,3.04,267.7,0.0,0.0,0.0,0.0,0.0,15.42,422.3
2020-01-18 22:10:00,2.02,3.77,251.7,0.0,0.0,0.0,0.0,0.0,14.13,423.1
2020-01-19 00:10:00,1.85,2.76,256.0,0.0,0.0,0.0,0.0,0.0,14.0,424.6
2020-01-19 02:10:00,1.13,3.12,267.2,0.0,0.0,0.0,0.0,0.0,12.66,423.4
2020-01-19 04:10:00,0.83,1.16,215.1,0.0,0.0,0.0,0.0,0.0,11.71,427.0
2020-01-19 06:10:00,0.78,1.68,222.3,0.0,440.0,0.0,0.0,0.0,13.22,428.2
2020-01-19 08:10:00,0.43,1.2,127.2,0.0,60.0,1.61,3.67,4.44,12.96,434.6
2020-01-19 10:10:00,2.45,3.81,244.1,0.0,0.0,103.82,206.95,225.1,13.14,424.6
2020-01-19 12:10:00,1.34,2.6,246.9,0.0,0.0,180.89,359.65,371.81,14.5,419.9
2020-01-19 14:10:00,0.95,1.8,287.6,0.0,130.0,71.03,153.28,166.02,15.85,417.7
2020-01-19 16:10:00,1.49,2.6,269.6,0.0,0.0,21.13,50.19,57.92,15.79,417.3
2020-01-19 18:10:00,1.74,2.9,238.2,0.0,0.0,0.0,0.0,0.0,14.4,420.7
2020-01-19 20:10:00,1.68,2.76,222.0,0.0,0.0,0.0,0.0,0.0,13.76,422.0
2020-01-19 22:10:00,1.03,1.6,155.6,0.0,0.0,0.0,0.0,0.0,13.47,424.3
2020-01-20 00:10:00,0.76,1.24,144.2,0.0,0.0,0.0,0.0,0.0,13.86,426.9
2020-01-20 02:10:00,0.79,1.24,91.1,0.0,0.0,0.0,0.0,0.0,14.08,430.6
2020-01-20 04:10:00,0.32,0.72,208.1,0.0,0.0,0.0,0.0,0.0,14.27,433.9
2020-01-20 06:10:00,0.91,1.46,106.9,0.0,0.0,0.0,0.0,0.0,14.08,431.7
2020-01-20 08:10:00,0.95,1.48,238.3,0.0,0.0,1.81,5.6,8.3,13.75,425.8
2020-01-20 10:10:00,1.0,1.44,148.9,0.0,0.0,97.99,199.03,206.95,14.23,430.4
2020-01-20 12:10:00,1.14,1.88,265.7,0.0,0.0,113.68,243.63,378.19,16.01,421.7
2020-01-20 14:10:00,0.68,1.32,228.9,0.0,0.0,204.83,407.14,452.12,16.48,419.6
2020-01-20 16:10:00,0.55,1.0,333.6,0.0,0.0,18.71,44.59,52.7,17.43,418.3
2020-01-20 18:10:00,0.86,1.46,340.3,0.0,0.0,0.0,0.0,0.0,15.47,419.3
2020-01-20 20:10:00,1.18,1.6,215.7,0.0,0.0,0.0,0.0,0.0,13.96,427.7
2020-01-20 22:10:00,0.66,1.36,177.7,0.0,0.0,0.0,0.0,0.0,11.74,433.5
2020-01-21 00:10:00,0.24,0.4,116.4,0.0,0.0,0.0,0.0,0.0,9.82,433.2
2020-01-21 02:10:00,1.62,2.48,152.3,0.0,0.0,0.0,0.0,0.0,9.02,440.5
2020-01-21 04:10:00,0.65,1.36,165.0,0.0,0.0,0.0,0.0,0.0,8.06,441.8
2020-01-21 06:10:00,0.61,1.34,172.7,0.0,0.0,0.0,0.0,0.0,7.43,443.8
2020-01-21 08:10:00,0.73,1.44,174.3,0.0,0.0,2.01,11.2,15.83,7.21,452.4
2020-01-21 10:10:00,0.95,1.36,192.5,0.0,0.0,247.08,391.51,408.69,9.47,456.3
2020-01-21 12:10:00,1.35,2.16,194.7,0.0,0.0,385.51,578.18,581.66,13.13,445.5
2020-01-21 14:10:00,1.08,1.86,194.9,0.0,0.0,229.18,450.0,461.0,17.3,438.0
2020-01-21 16:10:00,0.27,0.44,50.27,0.0,0.0,39.44,89.19,103.67,19.81,427.8
2020-01-21 18:10:00,0.45,1.1,214.4,0.0,0.0,0.0,0.0,0.0,15.02,439.1
2020-01-21 20:10:00,1.61,2.28,202.3,0.0,0.0,0.0,0.0,0.0,11.4,436.9
2020-01-21 22:10:00,1.21,2.77,155.0,0.0,0.0,0.0,0.0,0.0,9.51,446.4
2020-01-22 00:10:00,0.49,0.88,199.9,0.0,0.0,0.0,0.0,0.0,8.05,438.3
2020-01-22 02:10:00,0.91,1.94,80.5,0.0,0.0,0.0,0.0,0.0,7.32,448.2
2020-01-22 04:10:00,1.62,2.32,184.8,0.0,0.0,0.0,0.0,0.0,8.24,450.4
2020-01-22 06:10:00,1.14,2.24,175.2,0.0,0.0,0.0,0.0,0.0,8.47,450.9
2020-01-22 08:10:00,1.3,2.36,214.1,0.0,0.0,6.84,13.32,19.11,8.12,450.7
2020-01-22 10:10:00,1.01,2.18,170.5,0.0,0.0,82.7,232.24,263.13,8.55,465.4
2020-01-22 12:10:00,0.4,1.2,100.2,0.0,0.0,88.93,240.15,261.58,12.04,456.9
2020-01-22 14:10:00,1.17,2.24,221.5,0.0,0.0,61.77,137.07,149.03,14.06,435.3
